,number,name,name_higher,short,desc,info,info2,year
37,4101,Asemakaavoitus,,,"Alueen tulevan käytön yksityiskohtainen määritteleminen: mitä säilytetään, mitä saa rakentaa, mihin ja millä tavalla. ","Kaavassa osoitetaan esimerkiksi rakennusten sijainti, koko ja käyttötarkoitus. Asemakaava voi koskea kokonaista asuntoaluetta asuin-, työ- ja virkistysalueineen tai joskus vain yhtä tonttia. Palveluluokkaan sisältyvät myös ranta-asemakaavoituksesta kunnalle mahdollisesti aiheutuvat kustannukset. Palveluluokkaan kuuluvat myös poikkeamispäätökset asemakaavasta. Palveluluokkaan kuuluvat myös asemakaavoituksen tai rakennusviranomaisten päätöksen mukainen nimistön ja osoitteiston rekisteröinti ja ylläpito ",Palveluluokan sisältöön ei ole tehty muutoksia,2023
29,3503,Kirjaston valtakunnallinen kehittämistehtävä,,,Valtakunnallisella kehittämistehtävällä tarkoitetaan yleisistä kirjastoista annetun lain (1492/2016) 7 § 1 momentin mukaista valtakunnallista kehitystehtävää. Säännöksen mukaan yleisten kirjastojen toiminnan tasapuoliseksi tukemiseksi valtakunnallisella kehittämistehtävällä toteutetaan yleisten kirjastojen yhteisiä palveluja ja edistetään yleisten kirjastojen keskinäistä yhteistoimintaa. Yhteisten palvelujen toteuttamisessa kehittämistehtävää tulee hoitaa yhteistyössä yleisten kirjastojen ja muiden kirjastojen kanssa.,,Palveluluokan sisältöön ei ole tehty muutoksia,2023
30,3551,Liikunta- ja ulkoilupalvelut,,,"Yleisten edellytysten luominen liikunnalle paikallistasolla sekä kuntalaisten liikkumista tukeva toiminta, liikuntapaikkojen suunnittelu, toteutus sekä kunnossapito, kunnan järjestämät leirintä-, retkeily ja pienvenesatamapalvelut. ","Liikuntapalvelujen sekä terveyttä ja hyvinvointia edistävän liikunnan järjestäminen eri kohderyhmät huomioon ottaen, liikuntaneuvonta ja liikuntaryhmien ohjaus sekä kansalaistoiminnan tukeminen mukaan lukien seuratoiminta. Lisäksi liikuntapaikkojen, pienvene- ja vierasvenesatamien, uimarantojen, luontoliikuntapaikkojen, sekä leirintä- ja retkeilyalueiden infrastruktuurin rakentamiseen, ylläpitoon, valaistukseen ja opastukseen liittyvät palvelut sekä kuntien näille kohdistamat tuet. Palveluluokalle kohdistetaan myös virkistysmetsien virkistyskäyttö.  ",Palveluluokan sisältöön ei ole tehty muutoksia,2023
31,3601,Nuorisopalvelut,,,"Paikallisten edellytysten luominen nuorisotyölle ja nuorten omaehtoiselle toiminnalle, nuorisopalveluiden ja tilojen järjestäminen sekä kansalaistoiminnan tukeminen ","Nuorisopalveluihin sisältyvät kasvatuksellinen ohjaus, toimitilapalvelut ja harrastusmahdollisuuksien turvaaminen, tieto- ja neuvontapalvelut, ohjaamot, nuorisoyhdistysten ja muiden nuorisoryhmien tuki, liikunnallinen, kulttuurillinen, kansainvälinen ja monikulttuurinen nuorisotoiminta, nuorten ympäristökasvatus sekä nuorten työpajapalvelut ja etsivä nuorisotyö, digitaalinen nuorisotyö tai muut paikallisiin olosuhteisiin sopivat toimintamuodot.  Koulupäivän ulkopuolella  toteutettavan harrastamisen Suomen mallin kustannukset sisällytetään tähän luokkaan.",Tarkennettu palvelukuvausta ja huomautusta,2023
32,3701,Museopalvelut,,,"Kuntien ylläpitämä ja avustama museotoiminta, kulttuuri-, taide- ja luonnonperinnön tallentaminen ja säilyttäminen, yleisötyö ja näyttelytoiminta, tutkimuksen edistäminen ja tiedon saatavuus, opetuksen- ja kasvatuksen edistäminen ","Taidemuseotoiminta sisältyy tähän. Opetushallitus vastaa museoiden valtionosuusjärjestelmän edellyttämästä tiedonkeruusta. Museopalveluihin sisältyy alueellinen ja valtakunnallinen vastuumuseotoiminta. Vastuumuseoksi nimeämisen edellytyksistä ja museoiden kehittämis- ja asiantuntijatehtävistä säädetään museolain 7–10 §:ssä (HE 194/2018 vp, voimaan vuoden 2020 alusta lukien). ",Palveluluokan sisältöön ei ole tehty muutoksia,2023
33,3702,Visuaalisen taiteen palvelut,,,"Kunnan ylläpitämä tai avustama muu kuin taidemuseotoiminta. Visuaaliseen taiteeseen sisältyvät mm. näyttelytilat ja -toiminta, julkisen taiteen hankinnat (prosenttiperiaate), kunnan myöntämät avustukset visuaaliselle taiteelle (taiteilijat, ammattilais- ja harrastajajärjestöt), taidehankinnat, työtilojen järjestäminen ja tukeminen, taiteilijaresidenssitilat ja -toiminta. Visuaalisella taiteella tarkoitetaan mm. kuvataiteita, elokuva- ja mediataiteita sekä valokuvataidetta.",,Palveluluokan sisältöön ei ole tehty muutoksia,2023
34,3751,"Teatteri-, tanssi- ja sirkuspalvelut ",,,"Kunnan ylläpitämä tai avustama teatteri-, tanssi- ja sirkustoiminta","Sisältää teatteri-, tanssi- ja sirkuspalvelut. Kansalaisopistossa annettava teatteri-  tanssi- ja sirkustoiminnan opetus on kuitenkin aina kansalaisopistokoulutusta. Tänne eivät kuulu eläintarhat, pieneläintarhat ja tivolit, jotka kohdistetaan palveluluokalle elinkeinojen edistäminen. ",Palveluluokan sisältöön ei ole tehty muutoksia,2023
35,3851,Musiikkipalvelut,,,"Kuntien ylläpitämä ja avustama musiikki-, konsertti- ja kuorotoiminta","Musiikkipalveluihin voivat sisältyä esim. kaupunginorkesterin toiminta, orkesterin, kuoron tai konserttitoiminnan tukeminen.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
19,3253,Kansalaisopiston kotoutumissuunnitelmakoulutus,,,TE-toimiston/ kunnan viranomaisen hyväksymän kotoutumissuunnitelman mukaisennen omaehtoisennen koulutustoiminta.,"Kansalaisopiston järjestämä koulutus, joka on hyväksytty kotoutumisen edistämisestä annetun lain (1386/2010) 11 §:ssä tarkoitettuun opiskelijan kotoutumissuunnitelmaan.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
18,3252,Kansalaisopistokoulutuksen maksullinen palvelutoiminta,,,"Kansalaisopiston toteuttama koulutus tilaajan asettamilla ehdoilla. Tilaaja määrittelee koulutuksen tavoitteet, keskeiset sisällöt, rekrytoi osanottajat ja maksaa laskun sopimuksen mukaan.","Maksullisella palvelutoiminnalla toteutettu koulutus ei ole valtionosuusrahoitteista. Oppilaitokset järjestävät maksullisena palvelutoimintana esimerkiksi työvoimahallinnon tilaamaa koulutusta, kunnan henkilöstökoulutusta ja yrittäjien ostamaa henkilöstökoulutusta.",Tarkennettu palvelukuvausta ja huomautusta,2023
17,3251,Kansalaisopistokoulutus,,,Kansalaisopiston toteuttama vapaan sivistystyön valtionosuusrahoitteinen koulutus.,Palveluluokka sisältää vapaan sivistystyön valtionosuuden sisällä toteutettavan taiteen perusopetuksen. Palveluluokka sisältää avustukset kansalaisopistoille. Palveluluokka ei sisällä kotoutumissuunnitelmaan hyväksyttävää koulutusta. ,Tarkennettu palvelukuvausta ja huomautusta,2023
16,3152,"Ammatillinen koulutus, muu toiminta",,,Muu kuin valtionosuudella rahoitettava toiminta,"Maksullinen palvelutoiminta, avustuksilla rahoitettava toiminta, tuotteiden ja palveluiden myynti, tilauskoulutus, koulutuksen järjestäjän liiketoiminta",Palveluluokan sisältöön ei ole tehty muutoksia,2023
0,1101,Yleishallintopalvelut,,,Ensisijaisesti lakiperusteiset yleiseen hallintoon liittyvät palvelut. Huom. Tukipalveluille on oma palveluluokka (nro 5501). ,"Kunnan demokratiapalvelut. Kunnan ylintä päätäntä- ja toimeenpanovaltaa käyttävien hallintoviranomaisten toiminnot: kunnanvaltuusto, -hallitus ja -johtaja sekä näiden toimintojen keskitetyt valmistelutehtävät (esim. kunnanjohtajan sihteeri), ei kuitenkaan toimialoilla tapahtuva valmistelu. Yleishallintoon kuuluvat kunnanhallituksen alaiset jaostot ja toimielimet. 

Koko kunnan toimintaa ja strategiaa ohjaavat ja neuvoa antavat toiminnot (esim. lähidemokratia- ja tasa-arvoasiat, asukkaiden osallistumis- ja vaikuttamismahdollisuuksien edistäminen (esimerkiksi vanhus- ja vammaisneuvostot, nuorisovaltuusto). 

Kunnan strategista, laaja-alaista ja pitkän aikavälin kehittämistä ja suunnittelua tukevat palvelut sekä niitä tukeva tiedonhankinta ja jalostus. Edellä kuvattuja palveluita ovat kuntastrategian valmistelu, laadinnan ohjaus, seuranta sekä näiden kehittäminen. Lisäksi palveluluokkaan kuuluvat myös kuntastrategiaa toteuttavien poikkihallinnollisten erillisohjelmien ja -suunnitelmien laadinta sekä kunnan edunvalvonta. Strategisen tason kuntakehityspalvelut kuuluvat yleishallintoon siltä osin, kun ne eivät ole jotain muuta varsinaista palvelua, kuten elinkeinojen edistämistä. Palveluluokkaan sisältyy myös konserniohjaus - ja valvonta

Varautuminen ja valmiussuunnittelu. 

Tiedonohjaussuunnitelman mukainen keskitetty asianhallinta, tiedonhallinta, arkistointi, arkiston tietopalvelu ja päätösten tiedoksi antaminen. 

Tarkastuslautakunnat, sisäinen tarkastus ja tarkastustoimi. 

Verotuskustannukset

Yhteistyö (esimerkiksi maakunnallinen, kunta- ja hyvinvointialueyhteistyö). Tiettyyn palveluun liittyvä yhteistyö kirjataan ko. palveluluokalle. ",Tarkennettu huomautusta,2023
1,1102,Vaalien järjestäminen,,,Kunnan keskusvaalilautakunnan sekä äänestysalueiden vaalilautakunnan vaalien järjestämiseen liittyvät tehtävät,,Palveluluokan sisältöön ei ole tehty muutoksia,2023
2,1120,Hyvinvoinnin ja terveyden edistämisen asiantuntijapalvelut ja tuki ,,,"Hyvinvoinnin ja terveyden edistämisen asiantuntijapalvelut ja tuki muualla kuin sosiaali- ja terveydenhuollossa paikallisesti, alueellisesti ja valtakunnallisesti eri tehtävissä ja hankkeissa sekä järjestöavustukset.","Kuntakohtaiset tai paikalliset hyvinvointikertomukset, muiden hallinnonalojen tukeminen hyvinvoinnin ja terveyden edistämisessä, muualla kuin sosiaali- ja terveydenhuollossa tehty ehkäisevä päihde- ja mielenterveystyö, hyvinvoinnin ja terveyden edistämisen vastuuhenkilöt, järjestöavustukset sekä tila-avustukset muille kuin sosiaali- ja terveydenhuoltopalvelun piirissä toimiville (esim. kansansairauksien ennaltaehkäisy, auttavat puhelimet) sekä avustukset yksityishenkilöille (esim. nastapohjalliset iäkkäille). Infektioihin ja muihin terveysuhkiin varautuminen muissa kuin sosiaali- ja terveydenhuollon palveluissa. Yhteistyö ja yhdyspintatyöskentely kunnan ja hyvinvointialueen kanssa hyvinvoinnin ja terveyden edistämisen tehtävissä (neuvottelut, työryhmät, yms.).

Järjestöavustukset ja muu selkeästi johonkin palveluun liittyvä ja palvelua täydentävät hyvinvoinnin ja terveyden edistämiseen liittyvä kustannukset kohdistetaan aina luonteensa mukaiselle palveluluokalle. Tällä luokalla raportoidaan sellaiset yleiset avustukset, jotka eivät luonteensa mukaan kuulu johonkin tiettyyn palveluluokkaan.",Uusi palveluluokka,2023
3,2701,Elintarvikevalvonta ja -neuvonta,,,"elintarvikkeiden alkutuotannon, valmistuksen, muun käsittelyn, maahantuonnin, maastaviennin, markkinoinnin, kuljetuksen, kaupanpidon, tarjoilun ja muun luovutuksen valvominen, kasvisten kauppanormien valvonta, varautuminen ja valvontasuunnitelmien laadinta, ruokamyrkytysepidemioiden selvittäminen, tiedottaminen, opastus ja neuvonta","Palvelu sisältää edellä mainittuihin liittyvän koulutuksen, valmennuksen ja valvonnan.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
4,2702,Eläinlääkäripalvelut,,,"peruseläinlääkäripalvelu, kiireellinen eläinlääkäriapu ja eläinlääkäripäivystys, tiedottaminen, opastus ja neuvonta","Palvelu sisältää matkasubventiot, palkkauskustannukset, ostopalvelut ja muut kustannukset. ",Palveluluokan sisältöön ei esitetä muutoksia.,2023
5,2703,Eläinten terveyden ja hyvinvoinnin valvonta,,,"eläinten terveyden (ml. eläimistä saatavien sivutuotteiden) ja eläinten hyvinvoinnin valvonta muuhun kuin viljelijätukiin liittyvä eläinten merkinnän ja rekisteröinnin valvonta, palvelu sisältää eläinten merkinnän ja rekisteröinnin valvonnan, eläinten terveyden valvonnan sekä eläinten hyvinvoinnin valvonnan, tarttuvien eläintautien ennaltaehkäisyn ja epidemioiden selvittelyn, zoonoosit, varautumisen ja valvontasuunnitelmaien laatimisen, tiedottamisen, opastuksen ja neuvonnan.","Palvelu sisältää edellä mainittuun liittyvän koulutuksen, valmennuksen ja valvonnan.",Palveluluokan sisältöön ei ole tehty muutoksia,2023
6,2705,Terveydensuojelun edistäminen ja valvonta,,,"terveydensuojelun edistäminen ja valvonta (kuten asumisterveys, talousvesi, uimavedet, liikuntatilat, ihonkäsittely), tiedottaminen, opastus ja neuvonta, varautuminen sekä valvontasuunnitelmien laatiminen",Sisältää myös koulutuksen ja valmennuksen.,Palveluluokan sisältöön ei ole tehty muutoksia,2023
7,2706,Tupakkalain valvonta,,,"Tupakkalain valvonta ja sen mukainen myyntilupien käsitteleminen, lupavalvonta sekä tupakointikieltojen valvonta, tiedottaminen, opastus ja neuvonta sekä valvontasuunnitelmien laatiminen. Lääkelain mukaisten nikotiinivalmisteiden valvonta ja sen mukainen myyntilupien käsitteleminen, lupavalvonta sekä nikotiinivalmisteiden myyntikieltojen valvonta, tiedottaminen, opastus ja neuvonta sekä valvontasuunnitelmien laatiminen.",Sisältää myös koulutuksen ja valmennuksen.,Palveluluokan sisältöön ei ole tehty muutoksia,2023
8,3021,Päiväkotitoiminta,,,Päiväkodeissa järjestettävä varhaiskasvatus,Sisältää myös lapsen tukemiseksi tarvittavat tukitoimenpiteet ja vuorohoidon.,Palveluluokan sisältöön ei ole tehty muutoksia,2023
9,3022,Perhepäivähoito,,,"Hoitajan kotona, lapsen kotona tai ryhmäperhepäivähoitona järjestettävä varhaiskasvatus",Sisältää myös lapsen tukemiseksi tarvittavat tukitoimenpiteet ja vuorohoidon.,Palveluluokan sisältöön ei ole tehty muutoksia,2023
10,3023,Muu varhaiskasvatus,,,"Varhaiskasvatuksen palvelut, joihin sisältyvät avointen päiväkotien toiminta, kerhojen ja leikkitoimintakeskusten toiminta, leikkipuisto- ja perhekerhotoiminta sekä kotihoidon tukeminen",,Palveluluokan sisältöön ei ole tehty muutoksia,2023
11,3041,Esiopetus,,,"Esiopetus, sekä pidennetyn oppivelvollisuuden piirissä olevien lasten esiopetus. Pidennettyä oppivelvollisuutta voi toteutua 5-vuotiaille järjestettävässä esiopetuksessa, vaikeimmin kehitysvammaisten opetuksessa ja muiden kuin vaikeimmin kehitysvammaisten opetuksessa.","Oppivelvollisuutta edeltävänä vuonna järjestettävä opetus, jota järjestetään esim. varhaiskasvatuksen ja perusopetuksen yhteydessä. Esiopetukseen kuuluvat kolmiportainen tuki, koulunkäyntiavustajan/-ohjaajan toiminta, ruokailu, kuljetukset ja esiopetuksen opetussuunnitelman perusteiden mukainen oppilashuolto (sisältää mm. poissaolojen seurannan, kiusaamisen ja tapaturmien ehkäisyn, kouluympäristön terveellisyyden ja turvallisuuden tarkastamisen ja kouluyhteisön hyvinvoinnin edistämisen). Sisältää myös sairaalaopetuksen. Ei sisällä kuraattori- ja psykologipalvelua, joka järjestetään hyvinvointialueilla.  Esiopetuksessa opetuksen järjestäjille jää yhteisöllinen oppilashuolto ja yhteistyö sekä oppilashuollon suunnitelman toteuttamisvastuu.",Tarkennettu huomautusta,2023
12,3051,Perusopetus,,,"1) Peruskoulussa, kansanopistoissa, aikuislukioissa tai muissa oppilaitoksissa annettava 1.-9. luokkien yleissivistävä opetus ja yksittäisten oppiaineiden kurssit (sisältää sairaalassa potilaana olevalle oppilaalle järjestettävä perusopetuksen 9- ja 11-vuotisen perusopetuksen osalta). 
2) Pidennetyn oppivelvollisuuden piirissä olevien lasten perusopetus, joka alkaa vuotta aikaisemmin ja kestää 11 vuotta, mikäli perusopetuksen tavoitteita ei lapsen vammaisuuden tai sairauden vuoksi ole mahdollista saavuttaa yhdeksässä vuodessa (sisältää sairaalassa potilaana olevalle oppilaalle järjestettävä perusopetuksen 9- ja 11-vuotisen perusopetuksen osalta). Pidennettyä oppivelvollisuutta voi toteutua  vaikeimmin kehitysvammaisten opetuksessa ja muiden kuin vaikeimmin kehitysvammaisten opetuksessa.
3) Perusopetusikäisille ja esiopetusikäisille maahanmuuttajalapsille annettava perusopetuksen valmistava opetus.
4) Perusopetuksen oppimäärän suorittaneille voidaan järjestää perusopetuksen yhteydessä tutkintokoulutukseen valmentavasta koulutuksesta annetun lain mukaista enintään yhden vuoden kestävää koulutusta. Tutkintoon valmentavaan koulutukseen voidaan ottaa pääsääntöisesti opiskelija, joka on saanut perusopetuksen päättötodistuksen ja jolla ei ole perusopetuksen jälkeistä tutkintoa. Perusopetuksen jälkeinen tutkintokoulutukseen valmentava koulutus on opiskelijalle maksutonta. Koulutuksen järjestäminen on vapaaehtoista. Koulutuksen laajuus on 38 viikkoa. 
5)  Aikuisten perusopetus on tarkoitettu niille lasten ja nuorten perusopetusiän ylittäneille, joilla ei ole perusopetuksen oppimäärää suoritettuna  Perusopetuksen suorittaminen iän puolesta päättyy sen vuoden keväällä kun oppilas täyttää 17 vuotta). Aikuisten perusopetus on tarkoitettu myös lasten ja nuorten perusopetusiän ylittäneille maahanmuuttajille ja maahanmuuttajataustaisille opiskelijoille. Sisältää kaksi vaihetta: alkuvaiheen ja päättövaiheen. Tarvittaessa alkuvaihe sisältää myös lukutaitovaiheen (tai osan siitä), mikäli opiskelijalla ei ole luku- ja kirjoitustaitoa tai taito on puutteellinen.","Perusopetukseen kuuluvat opetus (sis. mm. koulun toimintasuunnitelmaan kuuluvan kerhotoiminnan), ruokailu, oppilaiden kuljetus ja majoitus, hallinto, kiinteistöjen ylläpito ja perusopetuksen opetussuunnitelman perusteiden mukainen oppilashuolto (sisältää mm. poissaolojen seurannan, kiusaamisen ja tapaturmien ehkäisyn, kouluympäristön terveellisyyden ja turvallisuuden tarkastamisen ja kouluyhteisön hyvinvoinnin edistämisen.), kolmiportainen tuki, mahdolliset tulkitsemis- ja avustajapalvelut, koulunkäyntiavustajan/-ohjaajan toiminta. Ei sisällä kuraattori- ja psykologipalvelua, joka järjestetään hyvinvointialueilla.  Perusopetuksessa opetuksen ja koulutuksen järjestäjille jää yhteisöllinen oppilashuolto ja yhteistyö ja oppilashuollon suunnitelman toteuttamisvastuu.",Tarkennettu palvelukuvausta ja huomautusta,2023
14,3101,Lukiokoulutus,,,Lukiolain mukainen yleissivistävä koulutus,"Lukiokoulutukseen sisältyvät opiskelijoiden opetus sekä ohjaus opiskeluun, jatko-opintoihin ja työelämään liittyvissä kysymyksissä sekä lukiokoulutuksen järjestämisluvalla järjestetty  tutkintokoulutukseen valmentava koulutus (TUVA). Lukiokoulutus käsittää opiskelijaruokailun, asuntolatoiminnan ja opetussuunnitelman mukaisen opiskeluhuollon (sisältää mm. poissaolojen seurannan, kiusaamisen ja tapaturmien ehkäisyn, opiskeluympäristön terveellisyyden ja turvallisuuden tarkastamisen ja oppilaitosyhteisön hyvinvoinnin edistämisen) sekä kiinteistöjen ylläpidon.

Palveluluokkaan kohdistetaan lukiolaisten maksuosuudet toisessa oppilaitoksessa suoritetuista opinnoista sekä tulot muiden oppilaitosten opiskelijoiden lukiossa suorittamista opinnoista. Ei sisällä kuraattori- ja psykologipalvelua, joka raportoidaan hyvinvointialueilla. Koulutuksen järjestäjille jää yhteisöllinen opiskelijahuolto ja yhteistyö ja opiskelijahuollon suunnitelman toteuttamisvastuu.",Tarkennettu huomautusta,2023
15,3151,"Ammatillinen koulutus, valtionosuusrahoitus ",,,Valtionosuudella rahoitetun ammatillisen koulutuksen toiminta,"Koulutuksen järjestäjän valtionosuudella rahoitettava toiminta: Opetustoiminta, majoitus, sisäoppilaitosmuotoinen majoitus, erityisen tuen erityistehtävän mukainen majoitus, opiskelijaruokailu, oppisopimuskoulutuksen opintososiaaliset edut, kiinteistöjen (omat ja vuokratilat) kiinteistökustannukset, muut koulutuksen järjestäjän yhteiset kustannukset, oppisopimuskoulutuksen työnantajille maksetut korvaukset. Ei sisällä kuraattori- ja psykologipalvelua, joka järjestetään hyvinvointialueilla. Ammatillisessa koulutuksessa koulutuksen järjestäjille jää yhteisöllinen oppilas- ja opiskelijahuolto ja yhteistyö ja opiskelijahuollon suunnitelman toteuttamisvastuu.",Tarkennettu huomautusta,2023
